[epoch:2, iter:362] Loss: 1.070 | Acc: 61.288% 
[epoch:2, iter:363] Loss: 1.069 | Acc: 61.328% 
[epoch:2, iter:364] Loss: 1.068 | Acc: 61.340% 
[epoch:2, iter:365] Loss: 1.068 | Acc: 61.377% 
[epoch:2, iter:366] Loss: 1.067 | Acc: 61.420% 
[epoch:2, iter:367] Loss: 1.066 | Acc: 61.451% 
[epoch:2, iter:368] Loss: 1.066 | Acc: 61.496% 
[epoch:2, iter:369] Loss: 1.064 | Acc: 61.545% 
[epoch:2, iter:370] Loss: 1.064 | Acc: 61.557% 
[epoch:2, iter:371] Loss: 1.063 | Acc: 61.592% 
[epoch:2, iter:372] Loss: 1.062 | Acc: 61.641% 
[epoch:2, iter:373] Loss: 1.062 | Acc: 61.661% 
[epoch:2, iter:374] Loss: 1.061 | Acc: 61.686% 
[epoch:2, iter:375] Loss: 1.061 | Acc: 61.695% 
[epoch:2, iter:376] Loss: 1.060 | Acc: 61.721% 
[epoch:2, iter:377] Loss: 1.059 | Acc: 61.762% 
[epoch:2, iter:378] Loss: 1.059 | Acc: 61.796% 
[epoch:2, iter:379] Loss: 1.058 | Acc: 61.830% 
[epoch:2, iter:380] Loss: 1.057 | Acc: 61.874% 
[epoch:2, iter:381] Loss: 1.057 | Acc: 61.890% 
[epoch:2, iter:382] Loss: 1.056 | Acc: 61.908% 
[epoch:2, iter:383] Loss: 1.056 | Acc: 61.921% 
[epoch:2, iter:384] Loss: 1.055 | Acc: 61.933% 
[epoch:2, iter:385] Loss: 1.055 | Acc: 61.952% 
[epoch:2, iter:386] Loss: 1.054 | Acc: 61.988% 
[epoch:2, iter:387] Loss: 1.053 | Acc: 62.007% 
[epoch:2, iter:388] Loss: 1.054 | Acc: 62.002% 
[epoch:2, iter:389] Loss: 1.053 | Acc: 62.049% 
[epoch:2, iter:390] Loss: 1.052 | Acc: 62.087% 
[epoch:2, iter:391] Loss: 1.050 | Acc: 62.139% 
[epoch:2, iter:392] Loss: 1.050 | Acc: 62.148% 
[epoch:3, iter:393] Loss: 0.889 | Acc: 68.750% 
[epoch:3, iter:394] Loss: 0.896 | Acc: 66.602% 
[epoch:3, iter:395] Loss: 0.909 | Acc: 66.667% 
[epoch:3, iter:396] Loss: 0.908 | Acc: 67.188% 
[epoch:3, iter:397] Loss: 0.947 | Acc: 65.469% 
[epoch:3, iter:398] Loss: 0.938 | Acc: 66.471% 
[epoch:3, iter:399] Loss: 0.947 | Acc: 65.848% 
[epoch:3, iter:400] Loss: 0.940 | Acc: 66.113% 
[epoch:3, iter:401] Loss: 0.951 | Acc: 65.972% 
[epoch:3, iter:402] Loss: 0.952 | Acc: 65.742% 
[epoch:3, iter:403] Loss: 0.958 | Acc: 65.803% 
[epoch:3, iter:404] Loss: 0.954 | Acc: 66.016% 
[epoch:3, iter:405] Loss: 0.954 | Acc: 66.016% 
[epoch:3, iter:406] Loss: 0.961 | Acc: 65.792% 
[epoch:3, iter:407] Loss: 0.965 | Acc: 65.625% 
[epoch:3, iter:408] Loss: 0.961 | Acc: 65.796% 
[epoch:3, iter:409] Loss: 0.961 | Acc: 65.763% 
[epoch:3, iter:410] Loss: 0.964 | Acc: 65.820% 
[epoch:3, iter:411] Loss: 0.966 | Acc: 65.687% 
[epoch:3, iter:412] Loss: 0.964 | Acc: 65.820% 
[epoch:3, iter:413] Loss: 0.965 | Acc: 65.792% 
[epoch:3, iter:414] Loss: 0.967 | Acc: 65.625% 
[epoch:3, iter:415] Loss: 0.968 | Acc: 65.557% 
[epoch:3, iter:416] Loss: 0.969 | Acc: 65.413% 
[epoch:3, iter:417] Loss: 0.966 | Acc: 65.469% 
[epoch:3, iter:418] Loss: 0.966 | Acc: 65.460% 
[epoch:3, iter:419] Loss: 0.964 | Acc: 65.451% 
[epoch:3, iter:420] Loss: 0.961 | Acc: 65.625% 
[epoch:3, iter:421] Loss: 0.959 | Acc: 65.679% 
[epoch:3, iter:422] Loss: 0.960 | Acc: 65.703% 
[epoch:3, iter:423] Loss: 0.958 | Acc: 65.726% 
[epoch:3, iter:424] Loss: 0.962 | Acc: 65.588% 
